post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47719486,France to ditch Windows for Linux to reduce reliance on US tech,technology,142,53,Teever,2026-04-10 16:39:51,0.3706293706293706,False
47708697,"Show HN: QVAC SDK, a universal JavaScript SDK for building local AI applications",technology,23,5,qvac,2026-04-10 16:39:51,0.20833333333333334,False
47707632,"Instant 1.0, a backend for AI-coded apps",technology,190,103,stopachka,2026-04-10 16:39:51,0.5392670157068062,True
47695666,Show HN: Druids – Build your own software factory,technology,57,12,etherio,2026-04-10 16:39:52,0.20689655172413793,False
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,401,48,WerWolv,2026-04-10 16:39:53,0.11940298507462686,True
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,technology,29,7,LabsLucas,2026-04-10 16:39:53,0.23333333333333334,False
47679121,Project Glasswing: Securing critical software for the AI era,technology,1525,832,Ryan5453,2026-04-10 16:39:53,0.54521625163827,True
47689237,US cities are axing Flock Safety surveillance technology,technology,755,427,giuliomagnifico,2026-04-10 16:39:53,0.5648148148148148,True
47718458,Tech job relocation market is recovering. The competition is growing faster,technology,40,64,andrewstetsenko,2026-04-10 16:39:54,1.5609756097560976,False
47661038,Show HN: I built a navigation app that displays weather along the route,technology,55,25,vkatluri,2026-04-10 16:39:54,0.44642857142857145,False
47670981,"Three hundred synths, 3 hardware projects, and one app",technology,125,19,ductionist,2026-04-10 16:39:55,0.15079365079365079,False
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,technology,230,28,MediaSquirrel,2026-04-10 16:39:55,0.12121212121212122,True
47699086,App Store sees 84% surge in new apps as AI coding tools take off,technology,65,74,gardaani,2026-04-10 16:39:55,1.121212121212121,False
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,technology,28,12,ashish004,2026-04-10 16:39:56,0.41379310344827586,False
47706113,"Desalination Technology, by the Numbers",technology,16,1,Brajeshwar,2026-04-10 16:39:57,0.058823529411764705,False
47703217,Apple signs meaningless deal to make some less-important parts in America,technology,35,16,als0,2026-04-10 16:39:57,0.4444444444444444,False
47713149,Apple to shutter its first unionized US store in Maryland,technology,18,5,golfer,2026-04-10 16:39:57,0.2631578947368421,False
47667504,Ask HN: How do you handle marketing as a solo technical founder?,technology,139,103,lazarkap,2026-04-10 16:39:57,0.7357142857142858,False
47701971,AI and remote work is a disaster for junior software engineers,technology,17,8,gpi,2026-04-10 16:39:58,0.4444444444444444,False
47661439,I won't download your app. The web version is a-ok,technology,925,561,ssiddharth,2026-04-10 16:39:58,0.6058315334773218,True
47674234,"""The new Copilot app for Windows 11 is really just Microsoft Edge""",technology,116,72,bundie,2026-04-10 16:39:59,0.6153846153846154,False
47694303,The demise of software engineering jobs has been greatly exaggerated,technology,19,5,ryan_j_naughton,2026-04-10 16:40:00,0.25,False
47681602,Show HN: Mo – checks GitHub PRs against decisions approved in Slack,technology,10,3,oscarcaldera,2026-04-10 16:40:00,0.2727272727272727,False
47671527,Some iPhone Apps Receive Mysterious Update 'From Apple',technology,83,29,tosh,2026-04-10 16:40:00,0.34523809523809523,False
47652322,Music for Programming,entertainment,353,174,merusame,2026-04-10 16:40:10,0.4915254237288136,True
47699105,Show HN: Image to Music AI – Turn Any Photo into an Original Soundtrack,entertainment,5,3,airobus,2026-04-10 16:40:11,0.5,False
47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,AI,40,19,fanf2,2026-04-10 16:40:17,0.4634146341463415,False
