post_id,title,category,score,num_comments,author,collected_at
47719486,France to ditch Windows for Linux to reduce reliance on US tech,technology,142,53,Teever,2026-04-10 16:39:51
47708697,"Show HN: QVAC SDK, a universal JavaScript SDK for building local AI applications",technology,23,5,qvac,2026-04-10 16:39:51
47707632,"Instant 1.0, a backend for AI-coded apps",technology,190,103,stopachka,2026-04-10 16:39:51
47695666,Show HN: Druids – Build your own software factory,technology,57,12,etherio,2026-04-10 16:39:52
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,401,48,WerWolv,2026-04-10 16:39:53
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,technology,29,7,LabsLucas,2026-04-10 16:39:53
47679121,Project Glasswing: Securing critical software for the AI era,technology,1525,832,Ryan5453,2026-04-10 16:39:53
47689237,US cities are axing Flock Safety surveillance technology,technology,755,427,giuliomagnifico,2026-04-10 16:39:53
47718458,Tech job relocation market is recovering. The competition is growing faster,technology,40,64,andrewstetsenko,2026-04-10 16:39:54
47661038,Show HN: I built a navigation app that displays weather along the route,technology,55,25,vkatluri,2026-04-10 16:39:54
47670981,"Three hundred synths, 3 hardware projects, and one app",technology,125,19,ductionist,2026-04-10 16:39:55
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,technology,230,28,MediaSquirrel,2026-04-10 16:39:55
47699086,App Store sees 84% surge in new apps as AI coding tools take off,technology,65,74,gardaani,2026-04-10 16:39:55
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,technology,28,12,ashish004,2026-04-10 16:39:56
47706113,"Desalination Technology, by the Numbers",technology,16,1,Brajeshwar,2026-04-10 16:39:57
47703217,Apple signs meaningless deal to make some less-important parts in America,technology,35,16,als0,2026-04-10 16:39:57
47713149,Apple to shutter its first unionized US store in Maryland,technology,18,5,golfer,2026-04-10 16:39:57
47667504,Ask HN: How do you handle marketing as a solo technical founder?,technology,139,103,lazarkap,2026-04-10 16:39:57
47701971,AI and remote work is a disaster for junior software engineers,technology,17,8,gpi,2026-04-10 16:39:58
47661439,I won't download your app. The web version is a-ok,technology,925,561,ssiddharth,2026-04-10 16:39:58
47674234,"""The new Copilot app for Windows 11 is really just Microsoft Edge""",technology,116,72,bundie,2026-04-10 16:39:59
47694303,The demise of software engineering jobs has been greatly exaggerated,technology,19,5,ryan_j_naughton,2026-04-10 16:40:00
47681602,Show HN: Mo – checks GitHub PRs against decisions approved in Slack,technology,10,3,oscarcaldera,2026-04-10 16:40:00
47671527,Some iPhone Apps Receive Mysterious Update 'From Apple',technology,83,29,tosh,2026-04-10 16:40:00
47652322,Music for Programming,entertainment,353,174,merusame,2026-04-10 16:40:10
47699105,Show HN: Image to Music AI – Turn Any Photo into an Original Soundtrack,entertainment,5,3,airobus,2026-04-10 16:40:11
47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,AI,40,19,fanf2,2026-04-10 16:40:17
47678844,Show HN: Marimo pair – Reactive Python notebooks as environments for agents,AI,93,22,manzt,2026-04-10 16:40:17
47712656,We've raised $17M to build what comes after Git,AI,256,555,ellieh,2026-04-10 16:40:17
47718114,US summons bank bosses over cyber risks from Anthropic's latest AI model,AI,57,31,ascold,2026-04-10 16:40:17
47717587,OpenAI backs Illinois bill that would limit when AI labs can be held liable,AI,372,266,smurda,2026-04-10 16:40:17
47719268,Born Private: Reserve your child's first email address with Proton,AI,11,8,teekert,2026-04-10 16:40:18
47674950,An AI robot in my home,AI,61,28,kukanani,2026-04-10 16:40:18
47713113,"The Raft consensus algorithm explained through ""Mean Girls"" (2019)",AI,119,27,vermilingua,2026-04-10 16:40:18
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,AI,238,262,speckx,2026-04-10 16:40:18
